tenure,Contract,InternetService,PaymentMethod,SeniorCitizen,Partner,Dependents,PaperlessBilling,PhoneService,OnlineSecurity,TechSupport,OnlineBackup,DeviceProtection,StreamingTV,StreamingMovies,MonthlyCharges,TotalCharges,Churn
25,Month-to-month,Fiber optic,Electronic check,0,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,92.21,2310.48,No
51,Month-to-month,DSL,Electronic check,0,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,59.34,3161.31,Yes
32,One year,Fiber optic,Credit card,0,No,No,No,Yes,No,Yes,No,Yes,No,Yes,84.89,2627.9,No
32,Month-to-month,Fiber optic,Credit card,0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,83.51,2586.04,Yes
33,Two year,Fiber optic,Credit card,0,No,Yes,Yes,No,No,No,No,Yes,No,No,72.86,2343.65,No
0,One year,Fiber optic,Electronic check,0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,85.71,83.14,Yes
30,One year,Fiber optic,Bank transfer,0,No,Yes,No,Yes,No,Yes,No,No,No,Yes,78.75,2328.75,No
16,Month-to-month,Fiber optic,Electronic check,0,Yes,No,Yes,Yes,No,Yes,No,No,No,No,72.66,1211.37,No
58,Two year,No,Mailed check,1,No,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24.44,1388.17,No
51,Two year,DSL,Bank transfer,1,Yes,No,No,Yes,No,No,No,No,Yes,No,48.82,2383.11,No
60,Two year,No,Credit card,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,21.71,1300.22,No
46,Month-to-month,Fiber optic,Mailed check,0,No,No,No,Yes,No,No,No,No,No,Yes,71.5,3142.56,No
30,Month-to-month,DSL,Mailed check,0,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,72.75,2125.04,No
6,Month-to-month,DSL,Electronic check,0,No,No,No,Yes,Yes,No,Yes,Yes,No,No,60.12,346.16,Yes
0,Month-to-month,Fiber optic,Mailed check,1,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,82.3,83.49,No
21,One year,Fiber optic,Electronic check,1,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,90.92,1970.08,No
59,One year,DSL,Credit card,0,No,No,No,Yes,Yes,No,No,No,Yes,Yes,61.71,3538.3,No
46,Two year,No,Electronic check,0,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,22.32,1022.13,No
29,Month-to-month,DSL,Bank transfer,0,Yes,No,No,Yes,Yes,No,No,No,No,No,51.58,1470.66,No
28,Month-to-month,Fiber optic,Electronic check,0,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,70.73,1917.51,No
17,Month-to-month,No,Mailed check,0,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.0,291.7,No
17,Month-to-month,Fiber optic,Electronic check,0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,78.91,1363.41,Yes
7,Month-to-month,No,Mailed check,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24.57,167.57,Yes
54,Month-to-month,No,Mailed check,0,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.4,1021.56,No
3,Month-to-month,No,Bank transfer,1,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24.12,75.14,Yes
56,One year,No,Credit card,0,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.85,1156.03,No
31,Month-to-month,Fiber optic,Electronic check,0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,100.48,3089.42,Yes
64,Two year,DSL,Bank transfer,0,Yes,No,No,Yes,No,Yes,No,No,No,Yes,55.25,3627.38,No
36,One year,DSL,Credit card,0,No,No,Yes,No,Yes,No,No,No,Yes,No,65.09,2418.82,No
0,Month-to-month,DSL,Electronic check,0,Yes,No,No,Yes,Yes,No,No,No,No,No,50.29,51.03,Yes
36,Two year,Fiber optic,Credit card,1,No,Yes,No,Yes,No,No,No,Yes,No,No,73.91,2537.86,No
42,Two year,Fiber optic,Credit card,0,Yes,Yes,No,Yes,No,No,No,Yes,No,No,71.35,2889.58,No
24,Month-to-month,Fiber optic,Credit card,1,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,87.81,2125.84,No
32,Month-to-month,DSL,Mailed check,0,No,Yes,Yes,No,No,No,No,No,Yes,Yes,65.76,2067.18,No
43,One year,DSL,Bank transfer,0,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,60.35,2657.05,No
22,Month-to-month,No,Mailed check,0,Yes,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.57,455.63,No
35,Month-to-month,DSL,Bank transfer,0,No,No,Yes,Yes,No,No,No,Yes,No,No,50.51,1751.24,No
0,Month-to-month,DSL,Credit card,0,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,65.37,67.62,No
19,Two year,Fiber optic,Electronic check,0,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,73.2,1389.19,No
13,One year,DSL,Credit card,0,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,61.24,806.56,No
53,One year,Fiber optic,Mailed check,0,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,90.37,4645.25,Yes
22,Two year,Fiber optic,Electronic check,0,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,78.15,1684.24,No
18,Month-to-month,Fiber optic,Bank transfer,0,Yes,No,No,Yes,No,No,No,Yes,No,No,69.31,1244.78,No
23,One year,Fiber optic,Credit card,0,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,85.12,1924.57,No
20,Month-to-month,Fiber optic,Mailed check,1,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,91.63,1898.66,Yes
16,Month-to-month,DSL,Credit card,0,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,59.91,932.29,No
42,One year,Fiber optic,Mailed check,0,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,93.52,4079.81,No
12,Month-to-month,Fiber optic,Credit card,1,No,Yes,No,Yes,No,No,No,Yes,Yes,No,77.38,904.11,No
49,One year,Fiber optic,Bank transfer,0,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,75.12,3617.41,Yes
72,Two year,DSL,Credit card,0,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,58.74,4314.54,No
58,One year,DSL,Electronic check,0,No,No,No,Yes,No,No,No,No,Yes,Yes,62.22,3514.04,No
32,One year,Fiber optic,Mailed check,0,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,83.61,2664.95,No
24,One year,Fiber optic,Credit card,0,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,89.26,2096.29,No
21,Month-to-month,No,Electronic check,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,21.65,467.92,Yes
50,Month-to-month,DSL,Mailed check,0,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,59.84,2863.49,Yes
17,Month-to-month,DSL,Bank transfer,0,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,64.94,1059.11,No
31,Month-to-month,DSL,Bank transfer,0,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,58.1,1821.08,No
31,Month-to-month,No,Credit card,0,No,Yes,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.91,623.12,No
66,Two year,No,Bank transfer,0,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,21.69,1421.86,No
38,Month-to-month,Fiber optic,Credit card,0,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,84.82,3181.04,No
0,Month-to-month,DSL,Mailed check,0,No,No,Yes,Yes,No,Yes,No,Yes,No,No,58.8,60.91,No
3,Month-to-month,Fiber optic,Bank transfer,1,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,81.23,244.3,No
19,Month-to-month,DSL,Credit card,0,No,No,Yes,No,No,Yes,No,No,No,Yes,53.26,1028.77,No
58,One year,Fiber optic,Bank transfer,0,Yes,No,Yes,Yes,No,Yes,No,No,No,No,69.87,4189.29,No
58,One year,Fiber optic,Electronic check,0,Yes,No,No,Yes,No,No,Yes,No,Yes,No,83.1,4915.02,No
53,Two year,No,Mailed check,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,21.55,1165.41,No
54,One year,No,Mailed check,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.0,934.02,No
11,Month-to-month,Fiber optic,Bank transfer,0,Yes,No,No,Yes,No,No,No,No,Yes,Yes,83.58,888.86,Yes
41,Two year,No,Mailed check,0,No,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.96,741.58,No
0,Month-to-month,Fiber optic,Bank transfer,0,No,No,Yes,Yes,Yes,No,No,No,No,Yes,75.71,74.95,No
16,Month-to-month,DSL,Credit card,0,No,No,Yes,Yes,No,No,No,Yes,Yes,No,55.46,860.69,No
12,Month-to-month,No,Electronic check,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.56,236.45,No
54,One year,Fiber optic,Bank transfer,0,Yes,No,Yes,Yes,Yes,No,No,No,No,No,65.81,3484.47,No
27,Month-to-month,DSL,Mailed check,0,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,76.24,1961.22,No
19,Month-to-month,DSL,Electronic check,0,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,53.44,1058.28,Yes
19,Month-to-month,Fiber optic,Mailed check,0,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,72.13,1319.07,No
11,Month-to-month,Fiber optic,Mailed check,0,Yes,No,No,No,No,No,No,No,Yes,Yes,81.85,927.23,No
10,One year,Fiber optic,Credit card,0,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,79.55,787.73,Yes
0,Month-to-month,DSL,Mailed check,0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,58.11,55.44,Yes
31,Month-to-month,Fiber optic,Electronic check,0,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,86.15,2585.79,Yes
16,Month-to-month,Fiber optic,Mailed check,1,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,77.81,1229.78,Yes
17,One year,DSL,Credit card,0,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,62.06,1070.61,No
40,Month-to-month,Fiber optic,Bank transfer,0,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,88.99,3493.66,No
45,Month-to-month,Fiber optic,Electronic check,0,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,86.75,4006.6,Yes
37,Month-to-month,DSL,Credit card,0,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,66.91,2397.06,No
61,Two year,DSL,Electronic check,0,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,79.67,5097.7,No
59,Two year,Fiber optic,Electronic check,0,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,90.25,5436.41,No
38,One year,No,Mailed check,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.54,792.87,No
21,Month-to-month,DSL,Bank transfer,0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,66.41,1345.16,Yes
64,Two year,Fiber optic,Credit card,0,Yes,No,Yes,No,No,No,No,No,No,Yes,68.67,4371.5,No
65,Two year,DSL,Electronic check,0,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,58.1,3781.5,No
45,One year,DSL,Credit card,0,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,67.57,3118.91,No
0,Month-to-month,DSL,Bank transfer,0,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,68.39,70.02,No
36,Month-to-month,DSL,Credit card,0,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,70.4,2635.36,No
21,Month-to-month,DSL,Credit card,0,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,70.71,1525.42,No
32,Two year,No,Bank transfer,0,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,21.17,680.34,No
21,Month-to-month,DSL,Electronic check,1,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,66.31,1351.22,Yes
23,Month-to-month,No,Electronic check,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.0,410.84,No
0,Month-to-month,DSL,Credit card,0,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,59.53,61.68,No
28,One year,No,Bank transfer,0,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.0,518.72,No
0,Month-to-month,No,Mailed check,0,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.0,17.71,No
38,Two year,Fiber optic,Credit card,0,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,84.35,3060.22,No
47,One year,Fiber optic,Credit card,0,No,No,No,Yes,No,No,Yes,Yes,No,Yes,87.28,4277.08,Yes
28,One year,DSL,Bank transfer,1,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,61.44,1641.92,Yes
19,Month-to-month,DSL,Credit card,0,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,62.1,1172.34,No
50,One year,DSL,Electronic check,0,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,75.43,3783.73,No
31,One year,No,Bank transfer,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.1,586.53,No
50,One year,No,Credit card,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.66,905.53,No
40,Month-to-month,Fiber optic,Electronic check,0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,90.64,3693.84,No
32,Month-to-month,DSL,Electronic check,1,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,66.32,2106.52,No
28,Month-to-month,Fiber optic,Credit card,0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,72.89,2140.15,No
32,Month-to-month,DSL,Mailed check,0,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,62.85,1995.52,No
24,Month-to-month,Fiber optic,Electronic check,0,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,96.5,2416.12,Yes
32,Month-to-month,DSL,Electronic check,0,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,63.95,1974.12,No
0,Month-to-month,DSL,Electronic check,1,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,69.71,69.54,Yes
37,One year,DSL,Electronic check,0,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,74.12,2615.58,No
24,Month-to-month,DSL,Credit card,0,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,62.93,1572.61,No
53,Two year,Fiber optic,Bank transfer,0,Yes,No,No,Yes,No,No,No,Yes,No,No,67.46,3487.48,No
72,One year,Fiber optic,Bank transfer,0,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,80.71,5586.59,No
15,Month-to-month,Fiber optic,Electronic check,0,No,Yes,Yes,Yes,No,No,No,No,No,No,68.33,1068.92,Yes
9,One year,No,Mailed check,0,No,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.47,190.27,No
19,Month-to-month,No,Electronic check,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.96,368.73,No
67,Two year,Fiber optic,Credit card,0,Yes,Yes,No,Yes,No,No,No,No,Yes,No,69.44,4504.45,No
4,Month-to-month,Fiber optic,Credit card,0,No,No,Yes,Yes,No,No,Yes,No,No,Yes,73.07,290.44,No
53,Two year,Fiber optic,Mailed check,0,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,81.0,4441.44,No
17,Month-to-month,DSL,Credit card,1,No,No,No,Yes,No,No,No,No,No,No,44.67,777.59,Yes
17,Month-to-month,Fiber optic,Electronic check,0,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,90.5,1476.34,Yes
8,Month-to-month,Fiber optic,Electronic check,0,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,83.0,674.87,Yes
72,Two year,Fiber optic,Bank transfer,1,No,No,Yes,Yes,No,Yes,No,No,Yes,No,74.86,5556.38,No
72,One year,Fiber optic,Mailed check,1,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,89.83,6171.27,No
5,Month-to-month,Fiber optic,Credit card,0,No,Yes,Yes,Yes,No,No,No,No,No,No,67.03,342.41,No
0,Month-to-month,Fiber optic,Electronic check,0,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,86.92,90.43,Yes
11,Month-to-month,DSL,Credit card,1,Yes,No,No,Yes,No,No,No,No,Yes,No,51.58,565.38,Yes
41,Month-to-month,DSL,Electronic check,0,Yes,No,No,Yes,No,No,No,Yes,No,Yes,55.94,2350.57,No
14,Month-to-month,Fiber optic,Electronic check,0,No,No,No,Yes,Yes,No,No,No,No,Yes,72.36,990.33,No
24,Month-to-month,DSL,Mailed check,0,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,57.03,1384.25,Yes
39,Two year,DSL,Credit card,0,Yes,Yes,No,No,No,No,No,No,No,Yes,53.17,2122.04,No
72,Two year,No,Bank transfer,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.63,1504.59,No
13,Month-to-month,No,Bank transfer,0,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.05,226.4,No
42,One year,Fiber optic,Electronic check,1,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,88.76,3804.74,No
5,Month-to-month,No,Electronic check,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.15,97.92,Yes
24,One year,DSL,Electronic check,0,No,Yes,Yes,No,No,No,No,No,No,No,43.77,1088.57,Yes
18,Month-to-month,DSL,Credit card,0,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,66.56,1248.72,No
40,One year,Fiber optic,Electronic check,0,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,84.08,3232.22,No
52,One year,Fiber optic,Electronic check,0,Yes,No,No,No,No,No,Yes,No,No,No,70.94,3728.03,Yes
27,Two year,Fiber optic,Bank transfer,0,Yes,Yes,No,No,No,Yes,No,No,No,Yes,78.81,2099.52,No
3,Month-to-month,No,Bank transfer,0,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.5,58.23,Yes
43,Two year,DSL,Mailed check,1,No,No,Yes,Yes,No,Yes,No,No,No,Yes,56.31,2406.44,No
20,Month-to-month,Fiber optic,Electronic check,0,No,No,No,Yes,Yes,No,No,No,Yes,Yes,79.97,1574.43,Yes
0,Month-to-month,DSL,Mailed check,0,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,58.1,59.47,No
36,One year,Fiber optic,Bank transfer,0,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,83.49,3112.05,Yes
8,Month-to-month,Fiber optic,Electronic check,0,No,No,Yes,Yes,Yes,No,Yes,No,No,No,77.41,629.42,Yes
52,Two year,DSL,Bank transfer,0,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,65.9,3292.71,No
42,Two year,DSL,Electronic check,0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,63.4,2560.23,No
2,Month-to-month,No,Credit card,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.2,36.15,Yes
59,Two year,DSL,Credit card,0,No,No,Yes,Yes,No,No,Yes,No,No,No,53.3,2999.84,No
36,Month-to-month,DSL,Electronic check,0,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,57.95,2155.61,Yes
31,Month-to-month,No,Mailed check,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,21.65,655.91,Yes
36,Month-to-month,Fiber optic,Mailed check,0,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,73.51,2657.61,Yes
72,Two year,DSL,Credit card,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,72.47,5472.78,No
15,Month-to-month,DSL,Mailed check,1,Yes,No,No,No,No,No,Yes,Yes,No,Yes,64.64,951.41,No
48,Month-to-month,Fiber optic,Bank transfer,0,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,73.02,3587.16,No
30,Month-to-month,Fiber optic,Electronic check,0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,85.69,2673.53,No
39,Two year,Fiber optic,Electronic check,0,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,80.39,3098.77,No
43,Two year,Fiber optic,Bank transfer,0,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,76.25,3219.61,No
40,One year,DSL,Bank transfer,1,Yes,No,No,Yes,No,No,No,Yes,No,Yes,59.71,2445.11,No
68,Two year,Fiber optic,Credit card,0,No,No,No,Yes,No,No,No,No,No,No,63.71,4144.56,No
50,Two year,DSL,Credit card,1,No,No,No,No,No,No,No,No,Yes,No,51.05,2429.66,No
2,Month-to-month,Fiber optic,Bank transfer,1,Yes,No,Yes,Yes,No,No,No,No,No,Yes,69.05,138.93,Yes
31,Month-to-month,Fiber optic,Mailed check,1,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,86.6,2554.67,Yes
36,Two year,Fiber optic,Credit card,0,Yes,No,No,Yes,No,No,Yes,No,Yes,No,79.48,2833.25,No
43,One year,Fiber optic,Credit card,1,Yes,No,No,Yes,No,No,No,No,Yes,No,70.29,3157.91,No
19,Month-to-month,No,Credit card,0,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.89,381.84,No
0,Month-to-month,Fiber optic,Credit card,0,No,No,No,Yes,No,Yes,No,Yes,Yes,No,79.58,80.21,Yes
66,One year,Fiber optic,Mailed check,0,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,98.16,6178.48,No
18,Month-to-month,Fiber optic,Bank transfer,0,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,83.34,1450.9,Yes
35,Two year,Fiber optic,Bank transfer,1,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,75.81,2679.21,No
19,Month-to-month,DSL,Electronic check,0,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,67.83,1290.88,No
0,Month-to-month,No,Bank transfer,0,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,23.73,23.99,Yes
60,Two year,Fiber optic,Mailed check,0,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,80.42,4721.36,No
32,Month-to-month,DSL,Mailed check,0,No,No,Yes,Yes,Yes,No,No,No,No,No,50.05,1576.79,No
61,Month-to-month,DSL,Electronic check,0,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,67.81,4290.78,No
40,One year,No,Bank transfer,0,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.89,737.66,No
43,Two year,DSL,Bank transfer,0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,69.04,3012.02,No
21,Month-to-month,Fiber optic,Mailed check,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,97.78,2001.35,No
41,Month-to-month,DSL,Electronic check,0,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,69.97,2951.16,No
62,Two year,No,Mailed check,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,21.09,1341.03,No
67,Two year,DSL,Electronic check,0,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,65.12,4536.56,No
30,Month-to-month,No,Electronic check,0,No,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,19.35,563.51,Yes
26,Month-to-month,No,Mailed check,1,Yes,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,21.67,563.75,No
0,Month-to-month,Fiber optic,Credit card,1,No,No,Yes,Yes,Yes,No,Yes,No,No,No,80.52,77.77,No
0,Month-to-month,No,Mailed check,1,Yes,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.0,17.92,No
0,Month-to-month,DSL,Bank transfer,1,Yes,No,No,Yes,No,No,No,No,No,No,44.91,45.71,No
19,One year,DSL,Credit card,0,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,69.62,1282.91,No
1,Month-to-month,DSL,Mailed check,0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,84.28,84.28,No
48,Month-to-month,No,Credit card,0,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,21.82,1097.33,Yes
27,One year,DSL,Electronic check,0,No,No,Yes,Yes,No,Yes,No,No,No,No,53.43,1396.74,No
40,One year,DSL,Mailed check,1,No,No,No,Yes,No,Yes,No,No,No,Yes,51.82,2027.78,No
14,Month-to-month,Fiber optic,Electronic check,0,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,82.67,1129.86,Yes
57,Two year,DSL,Mailed check,1,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,58.84,3447.02,No
39,One year,No,Credit card,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.0,731.21,No
18,One year,DSL,Bank transfer,1,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,67.35,1247.8,No
